,PropertyStreetNbrNameText,PropertyCityName,State,PropertyZipCode,TotalAssessedAmt,Lat,Lng
0,5512 WILLIAMSBURG BLVD,ARLINGTON,VA,22207,838200,38.9065844,-77.1475052
1,419 N NORWOOD ST,ARLINGTON,VA,22203,881000,38.8768188,-77.1024228
2,505 N MANCHESTER ST,ARLINGTON,VA,22203,685000,38.8714227,-77.13373059999999
3,4102 11th ST N,ARLINGTON,VA,22201,657500,38.883899,-77.10988669999999
4,3708 5th ST S,ARLINGTON,VA,22204,825000,38.8664531,-77.0973404
5,1761 N TROY ST 09445,ARLINGTON,VA,22201,275500,38.894129,-77.08290099999999
6,969 S TAYLOR ST,ARLINGTON,VA,22204,414800,38.85893900000001,-77.10355799999999
7,1639 N WOODSTOCK ST,ARLINGTON,VA,22207,766300,38.8908691,-77.1199993
8,3355 S STAFFORD ST,ARLINGTON,VA,22206,529400,38.8343015,-77.08591679999999
9,1637 N BUCHANAN ST,ARLINGTON,VA,22207,767900,38.8901517,-77.12256140000001
10,5039 30th ST N,ARLINGTON,VA,22207,2277900,38.9055392,-77.13723619999999
11,43 N OAKLAND ST,ARLINGTON,VA,22203,755600,38.8722972,-77.1006807
12,5714 LITTLE FALLS RD,ARLINGTON,VA,22207,888100,38.9017526,-77.1470109
13,3711 N GLEBE RD,ARLINGTON,VA,22207,1074100,38.9172085,-77.1353486
14,1802 KEY BLVD 09485,ARLINGTON,VA,22201,341800,38.8949262,-77.0820092
15,1705 S POLLARD ST,ARLINGTON,VA,22204,568600,38.853489,-77.0945552
16,3189 N QUINCY ST,ARLINGTON,VA,22207,897800,38.9159754,-77.1183811
17,5565 COLUMBIA PIKE 508,ARLINGTON,VA,22204,101700,38.854945,-77.122467
18,5136 10th ST N,ARLINGTON,VA,22205,961300,38.881339,-77.12561790000001
19,5650 6th ST N,ARLINGTON,VA,22205,914300,38.8723742,-77.1287641
20,2522 S WALTER REED DR 00002,ARLINGTON,VA,22206,473700,38.84563199999999,-77.100455
21,2305 S COLUMBUS ST,ARLINGTON,VA,22206,611700,38.8454233,-77.1053112
22,4604 C 28th RD S C,ARLINGTON,VA,22206,291800,38.8432489,-77.0981836
23,1050 N TAYLOR ST 1-407,ARLINGTON,VA,22201,423900,38.88874759999999,-77.1133285
24,4421 16th ST N,ARLINGTON,VA,22207,896000,38.89065280000001,-77.11554919999999
25,5538 10th ST N,ARLINGTON,VA,22205,883400,38.8805409,-77.13105639999999
26,1346 LYNNBROOK DR,ARLINGTON,VA,22201,865300,38.888266,-77.10261899999999
27,816 N ILLINOIS ST,ARLINGTON,VA,22205,693800,38.8760437,-77.12710109999999
28,2100 LEE HWY 536,ARLINGTON,VA,22201,397100,38.8958533,-77.0836163
29,2903 S BUCHANAN ST,ARLINGTON,VA,22206,415700,38.83923679999999,-77.10001319999999
30,910 N MONTANA ST,ARLINGTON,VA,22205,653400,38.8761824,-77.1448987
31,3066 S ABINGDON ST,ARLINGTON,VA,22206,442800,38.8379728,-77.0966689
32,1511 S STAFFORD ST,ARLINGTON,VA,22204,738700,38.8540674,-77.099006
33,2813 A S WOODROW ST 00001,ARLINGTON,VA,22206,315700,38.840456,-77.09729709999999
34,1819 N UNDERWOOD ST,ARLINGTON,VA,22205,1480400,38.8840548,-77.1578857
35,1805 KEY BLVD 10512,ARLINGTON,VA,22201,275500,38.895244,-77.08253599999999
36,612 N WAKEFIELD ST,ARLINGTON,VA,22203,686900,38.8771574,-77.1155043
37,3619 S TAYLOR ST,ARLINGTON,VA,22206,442800,38.8291441,-77.0898071
38,4864 10th ST S,ARLINGTON,VA,22204,445800,38.8555015,-77.1108405
39,1118 B N STAFFORD ST,ARLINGTON,VA,22201,682800,38.8896324,-77.1116432
40,5565 COLUMBIA PIKE 307,ARLINGTON,VA,22204,200500,38.854945,-77.122467
41,3513 S UTAH ST,ARLINGTON,VA,22206,495800,38.8310396,-77.0891458
42,5600 8th ST N,ARLINGTON,VA,22205,694500,38.8748891,-77.1279101
43,4210 36th ST S B1,ARLINGTON,VA,22206,251000,38.8286091,-77.0887924
44,2500 B S ARLINGTON MILL DR 00002,ARLINGTON,VA,22206,517900,38.845772,-77.0966689
45,2415 N POTOMAC ST,ARLINGTON,VA,22207,983400,38.893522,-77.1516845
46,1724 S POLLARD ST,ARLINGTON,VA,22204,553400,38.8527196,-77.0947687
47,985 N POTOMAC ST,ARLINGTON,VA,22205,775000,38.8782298,-77.1477749
48,1225 N NASH ST 00001,ARLINGTON,VA,22209,485900,38.888828,-77.07193099999999
49,27 S ABERDEEN ST,ARLINGTON,VA,22204,670800,38.8658675,-77.1146254
50,4215 32nd RD S,ARLINGTON,VA,22206,442800,38.8366235,-77.0862057
51,1045 N UTAH ST 2-313,ARLINGTON,VA,22201,242000,38.8832871,-77.11356549999999
52,4433 26th RD N,ARLINGTON,VA,22207,1176000,38.906248,-77.1178867
53,100 N GRANADA ST,ARLINGTON,VA,22203,702400,38.8682479,-77.1241795
54,5353 COLUMBIA PIKE 612,ARLINGTON,VA,22204,239800,38.8549861,-77.1167404
55,3912 7th ST S,ARLINGTON,VA,22204,712000,38.8636266,-77.09936499999999
56,1805 N OAKLAND ST,ARLINGTON,VA,22207,875800,38.893229,-77.106008
57,1106 N JEFFERSON ST,ARLINGTON,VA,22205,779900,38.88153459999999,-77.13276429999999
58,1150 N VERNON ST,ARLINGTON,VA,22201,772300,38.8847675,-77.1165044
59,3511 15th ST S,ARLINGTON,VA,22204,623200,38.8567265,-77.0915429
60,3095 S WOODROW ST,ARLINGTON,VA,22206,415700,38.837854,-77.094875
61,2928 1st RD N,ARLINGTON,VA,22201,846800,38.8753751,-77.0916778
62,2004 N KENILWORTH ST,ARLINGTON,VA,22205,872900,38.8914707,-77.1390694
63,1106 N UTAH ST,ARLINGTON,VA,22201,528900,38.8842317,-77.1141925
64,612 S WALTER REED DR,ARLINGTON,VA,22204,602400,38.8675337,-77.08835069999999
65,1575 N COLONIAL TER 303-Y,ARLINGTON,VA,22209,289000,38.898231,-77.074662
66,1530 KEY BLVD 320,ARLINGTON,VA,22209,536400,38.89602600000001,-77.07587649999999
67,4031 35th ST N,ARLINGTON,VA,22207,1006000,38.9171858,-77.11978580000002
68,2707 KEY BLVD,ARLINGTON,VA,22201,1029000,38.89230269999999,-77.0926219
69,3113 N KENSINGTON ST,ARLINGTON,VA,22207,874000,38.9031323,-77.1482242
70,4619 31st RD S,ARLINGTON,VA,22206,442800,38.83699550000001,-77.0944112
71,1001 N ROCHESTER ST,ARLINGTON,VA,22205,777500,38.8777371,-77.1512801
72,4629 35th ST N,ARLINGTON,VA,22207,1431100,38.9141206,-77.1283596
73,2220 N TUCKAHOE ST,ARLINGTON,VA,22205,705900,38.8889484,-77.1578408
74,2030 N ADAMS ST 1103,ARLINGTON,VA,22201,297700,38.8977682,-77.0896321
75,2405 S DINWIDDIE ST,ARLINGTON,VA,22206,591900,38.843795,-77.1055696
76,805 S IVY ST,ARLINGTON,VA,22204,734700,38.8650398,-77.0911832
77,6034 22nd ST N,ARLINGTON,VA,22205,996600,38.8898444,-77.14642669999999
78,2231 N TRENTON ST,ARLINGTON,VA,22207,840100,38.9006283,-77.115729
79,1505 F N COLONIAL TER,ARLINGTON,VA,22209,895100,38.89789469999999,-77.0759405
80,3611 13th ST N,ARLINGTON,VA,22201,737800,38.88769509999999,-77.105255
81,2019 S OAKLAND ST,ARLINGTON,VA,22204,465100,38.8507605,-77.09144169999999
82,2225 N TRENTON ST,ARLINGTON,VA,22207,933400,38.9004226,-77.1156841
83,3108 5th ST N,ARLINGTON,VA,22201,1569400,38.8793688,-77.09489239999999
84,4203 16th ST S,ARLINGTON,VA,22204,482800,38.8536959,-77.0992758
85,5009 25th ST N,ARLINGTON,VA,22207,729700,38.8996964,-77.1314609
86,532 N OXFORD ST,ARLINGTON,VA,22203,805700,38.8781852,-77.1049336
87,310 S HARRISON ST,ARLINGTON,VA,22204,604800,38.8634034,-77.1207185
88,3211 N ABINGDON ST,ARLINGTON,VA,22207,1100600,38.9106303,-77.1290001
89,6114 WASHINGTON BLVD,ARLINGTON,VA,22205,802100,38.8870939,-77.147685
90,3642 N PIEDMONT ST,ARLINGTON,VA,22207,992300,38.9184736,-77.1188306
91,4637 34th ST S,ARLINGTON,VA,22206,442800,38.8345177,-77.0921984
92,3546 N UTAH ST,ARLINGTON,VA,22207,813600,38.9182198,-77.1238312
93,2737 S WALTER REED DR C,ARLINGTON,VA,22206,291800,38.8416567,-77.1059854
94,2835 A S WAKEFIELD ST A,ARLINGTON,VA,22206,291800,38.8437517,-77.097831
95,5105 1st ST N,ARLINGTON,VA,22203,750500,38.8671686,-77.12170739999999
96,2416 S WALTER REED DR 00002,ARLINGTON,VA,22206,473700,38.849381,-77.106679
97,4600 S FOUR MILE RUN DR 0710,ARLINGTON,VA,22204,126400,38.8548913,-77.1074126
98,24 S OLD GLEBE RD 302-C,ARLINGTON,VA,22204,198700,38.8694896,-77.0985796
99,890 N OHIO ST,ARLINGTON,VA,22205,680000,38.8766936,-77.1487635
100,2803 KEY BLVD,ARLINGTON,VA,22201,1277600,38.8919919,-77.0934312
101,3342 S WAKEFIELD ST B,ARLINGTON,VA,22206,346400,38.8354296,-77.0915371
102,109 N GALVESTON ST,ARLINGTON,VA,22203,694200,38.8684902,-77.1246402
103,5019 4th ST N,ARLINGTON,VA,22203,612100,38.8722937,-77.117617
104,6028 6th ST N,ARLINGTON,VA,22203,662600,38.8717309,-77.1384721
