,metro,street,city,state,zip,lat,lng
0,Arlington Cemetery,1000 North Memorial Drive,Arlington,VA,22211,38.8845641,-77.0631731
1,Ballston MU,4230 Fairfax Drive,Arlington,VA,22201,38.8819639,-77.1114771
2,Clarendon,3100 Wilson Blvd,Arlington,VA,22201,38.887095,-77.0952296
3,Court House,2100 Wilson Blvd,Arlington,VA,22201,38.8915539,-77.0848769
4,Crystal City,1750 South Clark St.,Arlington,VA,22202,38.8572075,-77.0518878
5,East Falls Church,2001 N. Sycamore St.,Arlington,VA,22205,38.8854669,-77.1563384
6,Pentagon,2 South Rotary Road,Arlington,VA,22202,38.8709674,-77.055949
7,Pentagon City,1250 South Hayes St.,Arlington,VA,22202,38.8630559,-77.0601093
8,Ronald Reagan Washington National Airport,2400 S. Smith Blvd.,Arlington,VA,22202,38.8496676,-77.0434549
9,Rosslyn,1850 N. Moore Street,Arlington,VA,22209,38.896854,-77.071978
10,Virginia Square GMU,3600 Fairfax Drive,Arlington,VA,22201,38.882807,-77.103523
